,FECHA
10,20140425
26,20140426
104,20140427
87,20140428
108,20140429
15,20140430
2,20140501
36,20140502
118,20140503
50,20140504
18,20140505
27,20140506
65,20140507
94,20140508
83,20140509
78,20140510
66,20140511
28,20140512
101,20140513
47,20140514
0,20140515
43,20150425
41,20150426
29,20150427
25,20150428
40,20150429
11,20150430
86,20150501
81,20150502
62,20150503
82,20150504
116,20150505
59,20150506
69,20150507
34,20150508
53,20150509
92,20150510
123,20150511
105,20150512
124,20150513
3,20150514
51,20150515
64,20160425
37,20160426
55,20160427
93,20160428
75,20160429
54,20160430
56,20160501
9,20160502
107,20160503
71,20160504
35,20160505
31,20160506
85,20160507
45,20160508
38,20160509
67,20160510
91,20160511
19,20160512
68,20160513
46,20160514
6,20160515
20,20170425
57,20170426
98,20170427
95,20170428
70,20170429
7,20170430
39,20170501
4,20170502
21,20170503
32,20170504
79,20170505
76,20170506
119,20170507
88,20170508
1,20170509
106,20170510
109,20170511
120,20170512
122,20170513
121,20170514
16,20170515
22,20180425
8,20180426
60,20180427
110,20180428
5,20180429
89,20180430
48,20180501
112,20180502
117,20180503
72,20180504
113,20180505
14,20180506
115,20180507
49,20180508
13,20180509
84,20180510
125,20180511
73,20180512
58,20180513
126,20180514
42,20180515
80,20190425
12,20190426
30,20190427
114,20190428
96,20190429
23,20190430
90,20190501
111,20190502
99,20190503
33,20190504
103,20190505
44,20190506
74,20190507
17,20190508
52,20190509
100,20190510
102,20190511
61,20190512
97,20190513
24,20190514
63,20190515
77,20200504
